packer,#,precision,recall,f-measure
32bitASPack,370,0.2592852137351086,1.0,0.41179744017807457
32bitASProtect,367,0.94750656167979,0.9836512261580381,0.9652406417112299
32bitEnigmaProtector,166,0.38461538461538464,0.030120481927710843,0.0558659217877095
32bitmpress,379,0.0,0.0,0
32bitThemida,497,0.9979919678714859,1.0,0.9989949748743718
32bitOriginal,111,0,0.0,0
32bitObsidium,358,0,0.0,0
32bitUPX,337,1.0,0.4807121661721068,0.6492985971943888
32bitVMProtect,185,0,0.0,0
64bitEnigmaProtector,196,1.0,0.00510204081632653,0.01015228426395939
64bitmpress,386,0.0,0.0,0
64bitThemida,1065,0,0.0,0
64bitOriginal,270,0,0.0,0
64bitObsidium,395,0,0.0,0
64bitPESpin,396,0.9949494949494949,0.9949494949494949,0.9949494949494949
64bitUPX,363,0.12185297079556898,1.0,0.21723518850987433
64bitVMProtect,24,0.0,0.0,0
